name,categoria,calories,protein,carbs,fat,fiber,sugar,sodium,n_productos
Aceitunas Verdes Rellenas Con Pimiento Morron En Salmuera,VEGETALES Y FRUTAS,110.0,0.2,3.3,10.0,0.5,0.0,1890.0,13
Aderezo A Base De Mostaza,SALSAS Y ADEREZOS,66.7,4.2,10.8,4.2,5.8,9.1,1191.7,13
Salsa A Base De Tomates Con Vegetales Y Especias,SALSAS Y ADEREZOS,50.0,1.0,5.8,2.2,4.3,3.2,315.0,13
"Suplemento Dietario Dietetico A Base De Proteinas, En Polvo, Para Personas Que Realizan Ejercicio Físico, Sabor Chocolate",SUPLEMENTOS Y DIETÉTICOS,384.9,72.7,9.9,4.9,1.3,5.0,421.1,13
"Suplemento Dietario Dietetico A Base De Proteinas, En Polvo, Para Personas Que Realizan Ejercicio Físico, Sabor Vainilla",SUPLEMENTOS Y DIETÉTICOS,381.8,73.3,12.9,5.0,0.0,3.3,266.7,13
Galletitas Dulces Sabor Vainilla,GALLETITAS Y BARRAS,430.0,6.3,73.3,11.7,1.7,20.7,190.0,13
Chucrut,VEGETALES Y FRUTAS,16.0,1.6,3.4,0.0,2.2,2.4,652.0,13
Confitura De Zarzamora,CONFITURAS Y DULCES,225.0,1.0,55.0,0.0,3.2,55.0,0.0,13
Mermelada De Arandanos,CONFITURAS Y DULCES,250.0,0.0,60.0,0.0,0.5,60.0,0.0,13
Pan Integral,MASAS Y PANADERÍA,253.8,8.7,50.0,4.0,6.6,3.0,298.0,13
Masa Congelada A Base De Fécula De Mandioca Y Queso,MASAS Y PANADERÍA,324.0,6.0,36.0,15.6,0.2,1.0,486.0,13
Dulce De Calafate,CONFITURAS Y DULCES,250.0,0.0,60.0,0.0,0.0,62.5,0.0,13
Miel Cremosa,CONFITURAS Y DULCES,320.0,0.4,80.0,0.0,0.0,79.5,0.0,13
Alimento A Base De Almidones Libre De Gluten,MASAS Y PANADERÍA,380.0,2.4,74.0,9.0,2.6,7.4,290.0,13
Helado De Crema Sabor Frutilla,HELADOS,171.7,2.8,25.8,6.6,0.0,25.0,48.3,12
Helado De Crema Sabor Americana,HELADOS,185.8,3.5,26.7,7.7,0.0,23.3,58.3,12
Champiñones Laminados,HONGOS,20.0,2.1,4.6,0.0,1.6,,250.0,12
Papas Prefritas Congeladas,VEGETALES Y FRUTAS,130.0,2.4,22.4,3.9,2.5,0.0,40.0,12
Confitura De Naranja,CONFITURAS Y DULCES,235.0,0.0,57.5,0.0,0.0,55.0,0.0,12
Chupetines De Caramelo Duro Sabores Surtidos,CARAMELOS Y GOLOSINAS,386.7,0.0,94.2,0.0,0.0,83.3,0.0,12
Confitura De Arándanos,CONFITURAS Y DULCES,225.0,0.2,55.0,0.0,1.2,52.5,0.0,12
Bombones De Chocolate Surtidos,CACAO Y CHOCOLATE,483.9,6.9,47.4,29.9,3.2,40.4,84.2,12
