rnpa,name,marca,categoria,unidad,calories,protein,carbs,fat,fat_sat,fat_trans,fiber,sugar,sodium,provincia
06-002996,AJí MOLIDO (PICANTES DEL NORTE),PICANTES DEL NORTE,CONDIMENTOS Y ESPECIAS,g,,,,,,,,,,Datos Alimentos Chaco 06
06-002995,PEREJIL (PICANTES DEL NORTE),PICANTES DEL NORTE,CONDIMENTOS Y ESPECIAS,g,,,,,,,,,,Datos Alimentos Chaco 06
06-002993,LAUREL (PICANTES DEL NORTE),PICANTES DEL NORTE,CONDIMENTOS Y ESPECIAS,g,,,,,,,,,,Datos Alimentos Chaco 06
06-002992,ORéGANO (PICANTES DEL NORTE),PICANTES DEL NORTE,CONDIMENTOS Y ESPECIAS,g,,,,,,,,,,Datos Alimentos Chaco 06
06-002989,"HELADO DE CREMA SABOR DULCE DE LECHE, RELLENO CON DULCE DE LECHE Y RECUBIERTO CON BAñO DE REPOSTERíA. (LUIGI)",LUIGI,HELADOS,g,315.0,5.33,26.67,20.0,12.0,,,18.33,48.33,Datos Alimentos Chaco 06
06-002988,MASA PRECOCIDA PARA PIZZA (FUNCIONAL LEÓN),FUNCIONAL LEÓN,MASAS Y PANADERÍA,g,282.5,7.5,57.5,2.5,,,,0.0,595.0,Datos Alimentos Chaco 06
06-002987,PAN DE VIENA (FUNCIONAL LEON),FUNCIONAL LEON,MASAS Y PANADERÍA,g,288.0,8.0,58.0,2.0,,,,3.4,424.0,Datos Alimentos Chaco 06
06-002986,PAN RALLADO (FUNCIONAL LEÓN),FUNCIONAL LEÓN,MASAS Y PANADERÍA,g,350.0,10.0,76.67,1.67,,,,2.0,806.67,Datos Alimentos Chaco 06
06-002984,PAN DE SÁNDWICH (FUNCIONAL LEóN),FUNCIONAL LEóN,MASAS Y PANADERÍA,g,276.0,8.0,56.0,2.0,,,,1.0,518.0,Datos Alimentos Chaco 06
06-002981,"Helado de agua, sabor: Anana, Durazno y Frutilla (balde 3 L) (BOMPIU)",BOMPIU,HELADOS,,,,,,,,,,,Datos Alimentos Chaco 06
06-002973,POSTRE CONGELADO SABOR: FRUTILLA Y GRANIZADO (BADHINO),BADHINO,HELADOS,g,218.33,3.5,26.67,9.17,5.5,,,20.0,108.33,Datos Alimentos Chaco 06
06-002971,TAPAS PARA EMPANADAS CRIOLLA (PASTILETY),PASTILETY,MASAS Y PANADERÍA,g,340.0,6.67,56.67,10.0,6.67,1.33,,0.17,250.0,Datos Alimentos Chaco 06
